Date,Stock,Values
31/01/1997,10065,0.008448448
28/02/1997,10065,0.008463832
31/03/1997,10065,0.008446722
30/04/1997,10065,0.008447262
30/05/1997,10065,0.008447261
30/06/1997,10065,0.00848071
31/07/1997,10065,0.008346498
29/08/1997,10065,0.008636535
30/09/1997,10065,0.008637559
31/10/1997,10065,0.008334021
28/11/1997,10065,0.008585532
31/12/1997,10065,0.008740357
31/01/1997,10145,0.008652363
28/02/1997,10145,0.008412177
31/03/1997,10145,0.008392031
30/04/1997,10145,0.008348829
30/05/1997,10145,0.008462939
30/06/1997,10145,0.008548442
31/07/1997,10145,0.00854889
29/08/1997,10145,0.008744779
30/09/1997,10145,0.008116694
31/10/1997,10145,0.008404931
28/11/1997,10145,0.008384861
31/12/1997,10145,0.008170856
31/01/1997,10516,0.008435421
28/02/1997,10516,0.008674747
31/03/1997,10516,0.008378776
30/04/1997,10516,0.00836928
30/05/1997,10516,0.008332521
30/06/1997,10516,0.008403278
31/07/1997,10516,0.008365192
29/08/1997,10516,0.00837866
30/09/1997,10516,0.008580194
31/10/1997,10516,0.008355793
28/11/1997,10516,0.008450381
31/12/1997,10516,0.008437668
31/01/1997,10656,0.008315238
28/02/1997,10656,0.008604978
31/03/1997,10656,0.008390621
30/04/1997,10656,0.008577794
30/05/1997,10656,0.008553756
30/06/1997,10656,0.008468776
31/07/1997,10656,0.008635991
29/08/1997,10656,0.008447554
30/09/1997,10656,0.00839587
31/10/1997,10656,0.008613907
28/11/1997,10656,0.008383107
31/12/1997,10656,0.009134309
31/01/1997,10866,0.008541766
28/02/1997,10866,0.008556583
31/03/1997,10866,0.00853899
30/04/1997,10866,0.008536217
30/05/1997,10866,0.008376798
30/06/1997,10866,0.008459809
31/07/1997,10866,0.008443826
29/08/1997,10866,0.008394197
30/09/1997,10866,0.00815644
31/10/1997,10866,0.008600564
28/11/1997,10866,0.008579814
31/12/1997,10866,0.00812782
31/01/1997,10874,0.00836561
28/02/1997,10874,0.008564448
31/03/1997,10874,0.008228304
30/04/1997,10874,0.008529035
30/05/1997,10874,0.00863952
30/06/1997,10874,0.008547271
31/07/1997,10874,0.008580574
29/08/1997,10874,0.008182396
30/09/1997,10874,0.008615064
31/10/1997,10874,0.008432507
28/11/1997,10874,0.008558928
31/12/1997,10874,0.008260809
31/01/1997,10890,0.008727415
28/02/1997,10890,0.008333807
31/03/1997,10890,0.008678791
30/04/1997,10890,0.0084986
30/05/1997,10890,0.008579341
30/06/1997,10890,0.008543288
31/07/1997,10890,0.008630377
29/08/1997,10890,0.008582101
30/09/1997,10890,0.008617396
31/10/1997,10890,0.008573854
28/11/1997,10890,0.008269699
31/12/1997,10890,0.008442571
31/01/1997,11308,0.008386054
28/02/1997,11308,0.008958066
31/03/1997,11308,0.00854953
